# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  7 17:00:05 2020
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass]
# COLUMN pl_msinieerr1:  Planet Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_msinieerr2:  Planet Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_msinielim:   Planet Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_msinij:      Planet Mass*sin(i) [Jupiter Mass]
# COLUMN pl_msinijerr1:  Planet Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_msinijerr2:  Planet Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_msinijlim:   Planet Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_cmasse:      Planet Mass*sin(i)/sin(i) [Earth Mass]
# COLUMN pl_cmasseerr1:  Planet Mass*sin(i)/sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_cmasseerr2:  Planet Mass*sin(i)/sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_cmasselim:   Planet Mass*sin(i)/sin(i) [Earth Mass] Limit Flag
# COLUMN pl_cmassj:      Planet Mass*sin(i)/sin(i) [Jupiter Mass]
# COLUMN pl_cmassjerr1:  Planet Mass*sin(i)/sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_cmassjerr2:  Planet Mass*sin(i)/sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_cmassjlim:   Planet Mass*sin(i)/sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_pm:          Total Proper Motion [mas/yr]
# COLUMN sy_pmerr1:      Total Proper Motion Upper Unc [mas/yr]
# COLUMN sy_pmerr2:      Total Proper Motion Lower Unc [mas/yr]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_plxerr1:     Parallax [mas] Upper Unc
# COLUMN sy_plxerr2:     Parallax [mas] Lower Unc
#
pl_name,hostname,default_flag,discoverymethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_mass,st_masserr1,st_masserr2,st_masslim,sy_pm,sy_pmerr1,sy_pmerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
HD 104067 b,HD 104067,1,Radial Velocity,0.260000,0.000000,0.000000,0,,,,,,,,,50.85280,6.35660,-6.35660,0,0.16000,0.02000,-0.02000,0,,,,,,,,,50.85280,6.35660,-6.35660,0,0.16000,0.02000,-0.02000,0,Msini,0.62,0.13,-0.13,0,447.0205242,0.0447129,-0.0447129,20.3632000,0.0244500,-0.0244500,49.0793000,0.0585930,-0.0585930
HD 10442 b,HD 10442,1,Radial Velocity,2.010000,0.120000,-0.120000,0,,,,,,,,,472.61321,24.15508,-24.15508,0,1.48700,0.07600,-0.07600,0,,,,,,,,,472.61321,24.15508,-24.15508,0,1.48700,0.07600,-0.07600,0,Msini,1.01,,,0,23.8767920,0.0979258,-0.0979258,135.3740000,1.3395000,-1.3395000,7.3590600,0.0725168,-0.0725168
HD 104985 b,HD 104985,1,Radial Velocity,0.950000,,,0,,,,,,,,,2637.90000,,,0,8.30000,,,0,,,,,,,,,2637.90000,,,0,8.30000,,,0,Msini,2.30,,,0,173.5842549,0.1113589,-0.1113589,100.5760000,0.7190000,-0.7190000,9.9146000,0.0705594,-0.0705594
HD 106252 b,HD 106252,1,Radial Velocity,2.610000,0.040000,-0.040000,0,,,,,,,,,2202.56190,85.81410,-85.81410,0,6.93000,0.27000,-0.27000,0,,,,,,,,,2202.56190,85.81410,-85.81410,0,6.93000,0.27000,-0.27000,0,Msini,1.01,0.05,-0.05,0,280.9408178,0.0533248,-0.0533248,38.1850000,0.0788500,-0.0788500,26.1595000,0.0536897,-0.0536897
HD 106270 b,HD 106270,1,Radial Velocity,3.340000,0.200000,-0.200000,0,,,,,,,,,3219.61790,85.81410,-85.81410,0,10.13000,0.27000,-0.27000,0,,,,,,,,,3219.61790,85.81410,-85.81410,0,10.13000,0.27000,-0.27000,0,Msini,1.39,,,0,107.7418790,0.1033721,-0.1033721,93.8080000,0.5686000,-0.5686000,10.6318000,0.0641260,-0.0641260
HD 106315 b,HD 106315,1,Transit,0.090700,0.001000,-0.001000,0,12.60000,3.20000,-3.20000,0,0.03964,0.01007,-0.01007,0,,,,,,,,,,,,,,,,,12.60000,3.20000,-3.20000,0,0.03964,0.01007,-0.01007,0,Mass,1.09,0.04,-0.04,0,12.2799626,0.0669336,-0.0669336,109.3530000,0.6860000,-0.6860000,9.1162900,0.0569382,-0.0569382
HD 106315 c,HD 106315,1,Transit,0.153600,0.001700,-0.001700,0,15.20000,3.70000,-3.70000,0,0.04782,0.01164,-0.01164,0,,,,,,,,,,,,,,,,,15.20000,3.70000,-3.70000,0,0.04782,0.01164,-0.01164,0,Mass,1.09,0.04,-0.04,0,12.2799626,0.0669336,-0.0669336,109.3530000,0.6860000,-0.6860000,9.1162900,0.0569382,-0.0569382
HD 10647 b,HD 10647,1,Radial Velocity,2.015000,0.011000,-0.011000,0,,,,,,,,,298.75000,25.43000,-25.43000,0,0.94000,0.08000,-0.08000,0,,,,,,,,,298.75000,25.43000,-25.43000,0,0.94000,0.08000,-0.08000,0,Msini,1.11,0.02,-0.02,0,196.5544898,0.0984710,-0.0984710,17.3357000,0.0223000,-0.0223000,57.6556000,0.0736675,-0.0736675
HD 106515 A b,HD 106515 A,1,Radial Velocity,4.590000,0.010000,-0.010000,0,,,,,,,,,3054.22000,44.49000,-44.49000,0,9.61000,0.14000,-0.14000,0,,,,,,,,,3054.22000,44.49000,-44.49000,0,9.61000,0.14000,-0.14000,0,Msini,0.97,0.01,-0.01,0,256.7719349,0.1155026,-0.1155026,34.0915000,0.0853500,-0.0853500,29.3041000,0.0728874,-0.0728874
HD 106906 b,HD 106906,1,Imaging,650.000000,,,0,3496.00000,636.00000,-636.00000,0,11.00000,2.00000,-2.00000,0,,,,,,,,,,,,,,,,,3496.00000,636.00000,-636.00000,0,11.00000,2.00000,-2.00000,0,Mass,1.50,0.10,-0.10,0,41.0824492,0.0558026,-0.0558026,103.0290000,0.4590000,-0.4590000,9.6773700,0.0428995,-0.0428995
HD 10697 b,HD 10697,1,Radial Velocity,2.140000,0.088000,-0.088000,0,,,,,,,,,2028.70889,24.79074,-24.79074,0,6.38300,0.07800,-0.07800,0,,,,,,,,,2028.70889,24.79074,-24.79074,0,6.38300,0.07800,-0.07800,0,Msini,1.13,,,0,113.3529363,0.0681437,-0.0681437,33.1205000,0.0442000,-0.0442000,30.1639000,0.0400023,-0.0400023
HD 107148 b,HD 107148,1,Radial Velocity,0.269000,0.016000,-0.016000,0,,,,,,,,,66.74100,11.44100,-11.44100,0,0.21000,0.03600,-0.03600,0,,,,,,,,,66.74100,11.44100,-11.44100,0,0.21000,0.03600,-0.03600,0,Msini,1.12,,,0,72.4419017,0.0920199,-0.0920199,49.4156000,0.1157000,-0.1157000,20.2077000,0.0470411,-0.0470411
HD 108147 b,HD 108147,1,Radial Velocity,0.102000,0.005900,-0.005900,0,,,,,,,,,82.95000,12.71300,-12.71300,0,0.26100,0.04000,-0.04000,0,,,,,,,,,82.95000,12.71300,-12.71300,0,0.26100,0.04000,-0.04000,0,Msini,1.22,0.18,-0.18,0,192.3721742,0.0510772,-0.0510772,38.9200000,0.0487500,-0.0487500,25.6648000,0.0319322,-0.0319322
HD 108341 b,HD 108341,1,Radial Velocity,2.000000,0.040000,-0.040000,0,,,,,,,,,1112.40000,1080.60000,-381.40000,0,3.50000,3.40000,-1.20000,0,,,,,,,,,1112.40000,1080.60000,-381.40000,0,3.50000,3.40000,-1.20000,0,Msini,0.84,0.02,-0.02,0,166.1998384,0.0424209,-0.0424209,48.9102000,0.0616500,-0.0616500,20.4167000,0.0255810,-0.0255810
HD 108863 b,HD 108863,1,Radial Velocity,1.320000,0.100000,-0.100000,0,,,,,,,,,767.24162,24.79074,-24.79074,0,2.41400,0.07800,-0.07800,0,,,,,,,,,767.24162,24.79074,-24.79074,0,2.41400,0.07800,-0.07800,0,Msini,1.59,,,0,82.6678226,0.0748029,-0.0748029,164.7420000,1.3265000,-1.3265000,6.0417200,0.0485185,-0.0485185
HD 108874 b,HD 108874,1,Radial Velocity,1.040000,0.020000,-0.020000,0,,,,,,,,,451.31860,28.60470,-28.60470,0,1.42000,0.09000,-0.09000,0,,,,,,,,,451.31860,28.60470,-28.60470,0,1.42000,0.09000,-0.09000,0,Msini,1.10,0.09,-0.09,0,156.0955141,0.0676439,-0.0676439,59.5175000,0.1580500,-0.1580500,16.7730000,0.0442754,-0.0442754
HD 108874 c,HD 108874,1,Radial Velocity,2.659000,0.060000,-0.060000,0,,,,,,,,,314.64000,19.07000,-19.07000,0,0.99000,0.06000,-0.06000,0,,,,,,,,,314.64000,19.07000,-19.07000,0,0.99000,0.06000,-0.06000,0,Msini,0.95,0.04,-0.04,0,156.0955141,0.0676439,-0.0676439,59.5175000,0.1580500,-0.1580500,16.7730000,0.0442754,-0.0442754
HD 109246 b,HD 109246,1,Radial Velocity,0.330000,0.010000,-0.010000,0,,,,,,,,,273.33380,79.45750,-79.45750,0,0.86000,0.25000,-0.25000,0,,,,,,,,,273.33380,79.45750,-79.45750,0,0.86000,0.25000,-0.25000,0,Msini,1.20,0.53,-0.53,0,178.6927380,0.0536339,-0.0536339,67.8349000,0.1234000,-0.1234000,14.7128000,0.0266207,-0.0266207
HD 109271 b,HD 109271,1,Radial Velocity,0.079000,0.001000,-0.001000,0,,,,,,,,,17.16200,1.27100,-1.27100,0,0.05400,0.00400,-0.00400,0,,,,,,,,,17.16200,1.27100,-1.27100,0,0.05400,0.00400,-0.00400,0,Msini,1.05,0.02,-0.02,0,187.9832255,0.1128115,-0.1128115,55.8716000,0.2075000,-0.2075000,17.8697000,0.0659850,-0.0659850
HD 109271 c,HD 109271,1,Radial Velocity,0.196000,0.003000,-0.003000,0,,,,,,,,,24.15400,2.22500,-2.22500,0,0.07600,0.00700,-0.00700,0,,,,,,,,,24.15400,2.22500,-2.22500,0,0.07600,0.00700,-0.00700,0,Msini,1.05,0.02,-0.02,0,187.9832255,0.1128115,-0.1128115,55.8716000,0.2075000,-0.2075000,17.8697000,0.0659850,-0.0659850
HD 109749 b,HD 109749,1,Radial Velocity,0.061500,0.004000,-0.004000,0,,,,,,,,,85.81410,14.30235,-14.30235,0,0.27000,0.04500,-0.04500,0,,,,,,,,,85.81410,14.30235,-14.30235,0,0.27000,0.04500,-0.04500,0,Msini,1.13,0.22,-0.22,0,157.5073946,0.0918390,-0.0918390,63.0821000,0.2951500,-0.2951500,15.8240000,0.0736139,-0.0736139
HD 110014 b,HD 110014,1,Radial Velocity,2.140000,0.030000,-0.030000,0,,,,,,,,,3524.59000,317.82000,-317.82000,0,11.09000,1.00000,-1.00000,0,,,,,,,,,3524.59000,317.82000,-317.82000,0,11.09000,1.00000,-1.00000,0,Msini,2.17,0.28,-0.28,0,80.7669238,0.3052435,-0.3052435,100.7580000,1.9731500,-1.9731500,9.9025900,0.1927720,-0.1927720
HD 111232 b,HD 111232,1,Radial Velocity,1.970000,0.040000,-0.040000,0,,,,,,,,,2269.30620,60.38770,-60.38770,0,7.14000,0.19000,-0.19000,0,,,,,,,,,2269.30620,60.38770,-60.38770,0,7.14000,0.19000,-0.19000,0,Msini,0.84,0.03,-0.03,0,115.6833576,0.0543942,-0.0543942,28.9571000,0.0361500,-0.0361500,34.5049000,0.0428047,-0.0428047
HD 111591 b,HD 111591,1,Radial Velocity,2.500000,0.100000,-0.100000,0,,,,,,,,,1398.45200,127.13200,-127.13200,0,4.40000,0.40000,-0.40000,0,,,,,,,,,1398.45200,127.13200,-127.13200,0,4.40000,0.40000,-0.40000,0,Msini,1.94,0.07,-0.07,0,122.6073145,0.0841743,-0.0841743,114.1660000,0.6975000,-0.6975000,8.7307100,0.0531023,-0.0531023
HD 111998 b,HD 111998,1,Radial Velocity,1.820000,0.070000,-0.070000,0,,,,,,,,,1433.41330,158.91500,-158.91500,0,4.51000,0.50000,-0.50000,0,,,,,,,,,1433.41330,158.91500,-158.91500,0,4.51000,0.50000,-0.50000,0,Msini,1.18,0.12,-0.12,0,262.6662570,0.1125615,-0.1125615,33.2237000,0.0601500,-0.0601500,30.0702000,0.0540833,-0.0540833
HD 113337 b,HD 113337,1,Radial Velocity,0.920000,0.090000,-0.090000,0,,,,,,,,,899.42000,76.28000,-76.28000,0,2.83000,0.24000,-0.24000,0,,,,,,,,,899.42000,76.28000,-76.28000,0,2.83000,0.24000,-0.24000,0,Msini,1.40,0.14,-0.14,0,175.2556737,0.0624381,-0.0624381,36.1800000,0.0564000,-0.0564000,27.6107000,0.0427536,-0.0427536
HD 113538 b,HD 113538,1,Radial Velocity,1.240000,0.040000,-0.040000,0,,,,,,,,,114.41000,12.71000,-12.71000,0,0.36000,0.04000,-0.04000,0,,,,,,,,,114.41000,12.71000,-12.71000,0,0.36000,0.04000,-0.04000,0,Msini,0.58,0.05,-0.05,0,1118.4009910,0.0865939,-0.0865939,16.2817000,0.0139500,-0.0139500,61.3899000,0.0522728,-0.0522728
HD 113538 c,HD 113538,1,Radial Velocity,2.440000,0.070000,-0.070000,0,,,,,,,,,295.57000,19.07000,-19.07000,0,0.93000,0.06000,-0.06000,0,,,,,,,,,295.57000,19.07000,-19.07000,0,0.93000,0.06000,-0.06000,0,Msini,0.58,0.05,-0.05,0,1118.4009910,0.0865939,-0.0865939,16.2817000,0.0139500,-0.0139500,61.3899000,0.0522728,-0.0522728
HD 113996 b,HD 113996,1,Radial Velocity,1.600000,0.100000,-0.100000,0,,,,,,,,,2002.32900,317.83000,-317.83000,0,6.30000,1.00000,-1.00000,0,,,,,,,,,2002.32900,317.83000,-317.83000,0,6.30000,1.00000,-1.00000,0,Msini,1.49,0.18,-0.18,0,78.9315005,0.2744524,-0.2744524,116.3340000,5.1110000,-5.1110000,8.5952100,0.3736480,-0.3736480
HD 114386 b,HD 114386,1,Radial Velocity,1.730000,0.030000,-0.030000,0,,,,,,,,,362.32620,41.31790,-41.31790,0,1.14000,0.13000,-0.13000,0,,,,,,,,,362.32620,41.31790,-41.31790,0,1.14000,0.13000,-0.13000,0,Msini,0.60,0.09,-0.09,0,352.6224636,0.0940900,-0.0940900,27.9243000,0.0404000,-0.0404000,35.7823000,0.0514577,-0.0514577
HD 114613 b,HD 114613,1,Radial Velocity,5.340000,0.260000,-0.260000,0,,,,,,,,,113.46531,10.17056,-10.17056,0,0.35700,0.03200,-0.03200,0,,,,,,,,,113.46531,10.17056,-10.17056,0,0.35700,0.03200,-0.03200,0,Msini,1.27,,,0,384.4072053,0.3835049,-0.3835049,20.2836000,0.0910000,-0.0910000,49.2738000,0.2194560,-0.2194560
HD 114729 b,HD 114729,1,Radial Velocity,2.067000,0.010000,-0.010000,0,,,,,,,,,262.20975,2.22481,-2.22481,0,0.82500,0.00700,-0.00700,0,,,,,,,,,262.20975,2.22481,-2.22481,0,0.82500,0.00700,-0.00700,0,Msini,0.94,0.01,-0.01,0,367.3596313,0.0667203,-0.0667203,37.8063000,0.0517500,-0.0517500,26.4217000,0.0359472,-0.0359472
HD 114762 b,HD 114762,1,Radial Velocity,0.360000,0.010000,-0.010000,0,,,,,,,,,3397.60270,177.98480,-177.98480,0,10.69000,0.56000,-0.56000,0,,,,,,,,,3397.60270,177.98480,-177.98480,0,10.69000,0.56000,-0.56000,0,Msini,0.80,0.06,-0.06,0,586.2913424,0.7052114,-0.7052114,40.1949000,0.4466000,-0.4466000,24.8556000,0.2743000,-0.2743000
HD 114783 b,HD 114783,1,Radial Velocity,1.160000,0.019000,-0.019000,0,,,,,,,,,349.60000,19.07000,-19.07000,0,1.10000,0.06000,-0.06000,0,,,,,,,,,349.60000,19.07000,-19.07000,0,1.10000,0.06000,-0.06000,0,Msini,0.85,0.03,-0.03,0,138.7804107,0.1084296,-0.1084296,21.0628000,0.0284500,-0.0284500,47.4482000,0.0637202,-0.0637202
HD 114783 c,HD 114783,1,Radial Velocity,,,,,,,,,,,,,194.19413,17.79848,-16.84499,0,0.61100,0.05600,-0.05300,0,,,,,,,,,194.19413,17.79848,-16.84499,0,0.61100,0.05600,-0.05300,0,Msini,0.85,0.03,-0.04,0,138.7804107,0.1084296,-0.1084296,21.0628000,0.0284500,-0.0284500,47.4482000,0.0637202,-0.0637202
HD 11506 b,HD 11506,1,Radial Velocity,2.900000,0.140000,-0.140000,0,,,,,,,,,1535.11890,165.27160,-165.27160,0,4.83000,0.52000,-0.52000,0,,,,,,,,,1535.11890,165.27160,-165.27160,0,4.83000,0.52000,-0.52000,0,Msini,1.24,0.18,-0.18,0,100.1591624,0.0792815,-0.0792815,51.2610000,0.1347000,-0.1347000,19.4792000,0.0508765,-0.0508765
HD 11506 c,HD 11506,1,Radial Velocity,0.774000,0.038000,-0.038000,0,,,,,,,,,129.67464,18.11631,-18.11631,0,0.40800,0.05700,-0.05700,0,,,,,,,,,129.67464,18.11631,-18.11631,0,0.40800,0.05700,-0.05700,0,Msini,1.24,0.18,-0.18,0,100.1591624,0.0792815,-0.0792815,51.2610000,0.1347000,-0.1347000,19.4792000,0.0508765,-0.0508765
HD 116029 b,HD 116029,1,Radial Velocity,1.650000,0.050000,-0.050000,0,,,,,,,,,444.96200,92.17070,-92.17070,0,1.40000,0.29000,-0.29000,0,,,,,,,,,444.96200,92.17070,-92.17070,0,1.40000,0.29000,-0.29000,0,Msini,0.83,0.24,-0.24,0,54.1682115,0.0581052,-0.0581052,123.2450000,0.5880000,-0.5880000,8.0852700,0.0384276,-0.0384276
HD 116029 c,HD 116029,1,Radial Velocity,,,,,,,,,,,,,403.64410,47.67450,-47.67450,0,1.27000,0.15000,-0.15000,0,,,,,,,,,403.64410,47.67450,-47.67450,0,1.27000,0.15000,-0.15000,0,Msini,1.33,0.11,-0.11,0,54.1682115,0.0581052,-0.0581052,123.2450000,0.5880000,-0.5880000,8.0852700,0.0384276,-0.0384276
HD 117207 b,HD 117207,1,Radial Velocity,3.787000,0.034000,-0.035000,0,,,,,,,,,612.14058,10.80622,-10.80622,0,1.92600,0.03400,-0.03400,0,,,,,,,,,612.14058,10.80622,-10.80622,0,1.92600,0.03400,-0.03400,0,Msini,1.05,0.03,-0.03,0,218.0171086,0.0790426,-0.0790426,32.3547000,0.0523000,-0.0523000,30.8785000,0.0495783,-0.0495783
HD 11755 b,HD 11755,1,Radial Velocity,1.090000,0.040000,-0.040000,0,,,,,,,,,1789.38290,292.40360,-292.40360,0,5.63000,0.92000,-0.92000,0,,,,,,,,,1789.38290,292.40360,-292.40360,0,5.63000,0.92000,-0.92000,0,Msini,0.72,0.17,-0.17,0,81.4679756,0.0476577,-0.0476577,235.0450000,1.6055000,-1.6055000,4.2258600,0.0288429,-0.0288429
HD 117618 b,HD 117618,1,Radial Velocity,0.180000,0.005000,-0.005000,0,,,,,,,,,55.30242,4.44962,-4.44962,0,0.17400,0.01400,-0.01400,0,,,,,,,,,55.30242,4.44962,-4.44962,0,0.17400,0.01400,-0.01400,0,Msini,1.08,,,0,127.9447545,0.1111997,-0.1111997,37.7781000,0.0921500,-0.0921500,26.4417000,0.0640817,-0.0640817
HD 118203 b,HD 118203,1,Radial Velocity,0.070000,0.000000,0.000000,0,,,,,,,,,886.74570,79.45750,-79.45750,0,2.79000,0.25000,-0.25000,0,,,,,,,,,886.74570,79.45750,-79.45750,0,2.79000,0.25000,-0.25000,0,Msini,1.84,0.24,-0.24,0,116.6279708,0.0462979,-0.0462979,92.2589000,0.2358000,-0.2358000,10.8102000,0.0274972,-0.0274972
HD 11964 b,HD 11964,1,Radial Velocity,3.160000,0.190000,-0.190000,0,,,,,,,,,198.00000,18.00000,-18.00000,0,0.62200,0.05600,-0.05600,0,,,,,,,,,198.00000,18.00000,-18.00000,0,0.62200,0.05600,-0.05600,0,Msini,0.91,0.11,-0.11,0,439.8070368,0.0647667,-0.0647667,33.5369000,0.0428000,-0.0428000,29.7890000,0.0377831,-0.0377831
HD 11964 c,HD 11964,1,Radial Velocity,0.229000,0.013000,-0.013000,0,,,,,,,,,25.00000,3.10000,-3.10000,0,0.07880,0.00970,-0.00970,0,,,,,,,,,25.00000,3.10000,-3.10000,0,0.07880,0.00970,-0.00970,0,Msini,0.91,0.11,-0.11,0,439.8070368,0.0647667,-0.0647667,33.5369000,0.0428000,-0.0428000,29.7890000,0.0377831,-0.0377831
HD 11977 b,HD 11977,1,Radial Velocity,1.930000,,,0,,,,,,,,,2080.00000,,,0,6.54000,,,0,,,,,,,,,2080.00000,,,0,6.54000,,,0,Msini,1.91,0.21,-0.21,0,105.5736344,0.2441684,-0.2441684,67.9331000,0.7082500,-0.7082500,14.6943000,0.1523020,-0.1523020
HD 120084 b,HD 120084,1,Radial Velocity,4.300000,,,0,,,,,,,,,1430.20000,,,0,4.50000,,,0,,,,,,,,,1430.20000,,,0,4.50000,,,0,Msini,2.39,0.06,-0.30,0,79.8171122,0.0931604,-0.0931604,103.0440000,0.5175000,-0.5175000,9.6760200,0.0484120,-0.0484120
HD 121504 b,HD 121504,1,Radial Velocity,0.330000,0.010000,-0.010000,0,,,,,,,,,479.92330,41.31790,-41.31790,0,1.51000,0.13000,-0.13000,0,,,,,,,,,479.92330,41.31790,-41.31790,0,1.51000,0.13000,-0.13000,0,Msini,1.62,0.21,-0.21,0,263.2012165,0.0734668,-0.0734668,41.6592000,0.0688500,-0.0688500,23.9754000,0.0393879,-0.0393879
HD 12484 b,HD 12484,1,Radial Velocity,0.297000,0.005000,-0.005000,0,,,,,,,,,947.13340,44.49620,-44.49620,0,2.98000,0.14000,-0.14000,0,,,,,,,,,947.13340,44.49620,-44.49620,0,2.98000,0.14000,-0.14000,0,Msini,1.01,0.03,-0.03,0,37.9411410,0.1241961,-0.1241961,48.3367000,0.1374000,-0.1374000,20.6595000,0.0583709,-0.0583709
HD 125390 b,HD 125390,1,Radial Velocity,3.160000,0.360000,-0.360000,0,,,,,,,,,7043.11280,305.11680,-305.11680,0,22.16000,0.96000,-0.96000,0,,,,,,,,,7043.11280,305.11680,-305.11680,0,22.16000,0.96000,-0.96000,0,Msini,1.36,,,0,21.5237321,0.0424588,-0.0424588,153.6470000,0.8540000,-0.8540000,6.4797500,0.0358957,-0.0358957
HD 125595 b,HD 125595,1,Radial Velocity,0.080000,0.000000,0.000000,0,,,,,,,,,6.35660,3.17830,-3.17830,0,0.02000,0.01000,-0.01000,0,,,,,,,,,6.35660,3.17830,-3.17830,0,0.02000,0.01000,-0.01000,0,Msini,0.29,0.25,-0.25,0,565.7998343,0.1332878,-0.1332878,28.1989000,0.0610000,-0.0610000,35.4337000,0.0761789,-0.0761789
HD 125612 b,HD 125612,1,Radial Velocity,1.372000,0.083000,-0.083000,0,,,,,,,,,985.27300,127.13200,-127.13200,0,3.10000,0.40000,-0.40000,0,,,,,,,,,985.27300,127.13200,-127.13200,0,3.10000,0.40000,-0.40000,0,Msini,1.11,0.20,-0.20,0,90.3893674,0.0874736,-0.0874736,57.6207000,0.1639500,-0.1639500,17.3261000,0.0490162,-0.0490162
HD 125612 c,HD 125612,1,Radial Velocity,0.052400,0.003100,-0.003100,0,,,,,,,,,17.48065,3.17830,-3.17830,0,0.05500,0.01000,-0.01000,0,,,,,,,,,17.48065,3.17830,-3.17830,0,0.05500,0.01000,-0.01000,0,Msini,1.11,0.20,-0.20,0,90.3893674,0.0874736,-0.0874736,57.6207000,0.1639500,-0.1639500,17.3261000,0.0490162,-0.0490162
HD 125612 d,HD 125612,1,Radial Velocity,4.060000,0.250000,-0.250000,0,,,,,,,,,2313.80240,295.58190,-295.58190,0,7.28000,0.93000,-0.93000,0,,,,,,,,,2313.80240,295.58190,-295.58190,0,7.28000,0.93000,-0.93000,0,Msini,1.11,0.20,-0.20,0,90.3893674,0.0874736,-0.0874736,57.6207000,0.1639500,-0.1639500,17.3261000,0.0490162,-0.0490162
HD 12648 b,HD 12648,1,Radial Velocity,0.540000,0.020000,-0.020000,0,,,,,,,,,622.94680,69.92260,-69.92260,0,1.96000,0.22000,-0.22000,0,,,,,,,,,622.94680,69.92260,-69.92260,0,1.96000,0.22000,-0.22000,0,Msini,0.67,0.07,-0.07,0,87.3308816,0.0402058,-0.0402058,182.1920000,0.9460000,-0.9460000,5.4599600,0.0282822,-0.0282822
HD 126525 b,HD 126525,1,Radial Velocity,1.837000,0.010000,-0.010000,0,,,,,,,,,75.32571,0.63566,-0.63566,0,0.23700,0.00200,-0.00200,0,,,,,,,,,75.32571,0.63566,-0.63566,0,0.23700,0.00200,-0.00200,0,Msini,0.90,0.01,-0.01,0,307.8540197,0.0979882,-0.0979882,37.6506000,0.0664000,-0.0664000,26.5312000,0.0465021,-0.0465021
